trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,stim_grayScreen.stopped,stim_grating.stopped,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.07506130001274869,0.07861660001799464,0.07861660001799464,8.732542600017041,space,8.639843699987978,None,,,,,,,FOV1,GS10,01,False,2024-08-02_17h09.05.462,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h10.59.242001 -0400,
0,0,0,0,8.792209000035655,,,,,,,,,8.790411500027403,8.792209000035655,11.7967873000307,13.78027970000403,13.78027970000403,13.763785500021186,FOV1,GS10,01,False,2024-08-02_17h09.05.462,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h10.59.242001 -0400,
1,0,1,0,13.78027970000403,,,,,,,,,13.763996299996506,13.797063500038348,16.797432400053367,18.78040740004508,18.78040740004508,18.763958199997433,FOV1,GS10,01,False,2024-08-02_17h09.05.462,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h10.59.242001 -0400,
2,0,2,0,18.78040740004508,,,,,,,,,18.764143600012176,18.798096500046086,21.797203100053594,23.780348900007084,23.780348900007084,23.763911400048528,FOV1,GS10,01,False,2024-08-02_17h09.05.462,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h10.59.242001 -0400,
3,0,3,0,23.780348900007084,,,,,,,,,23.764089000003878,23.79827510000905,26.797305600019172,28.780364600010216,28.780364600010216,28.765866500034463,FOV1,GS10,01,False,2024-08-02_17h09.05.462,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h10.59.242001 -0400,
4,0,4,0,28.780364600010216,,,,,,,,,28.76605680002831,28.796990800008643,31.797182100010104,33.78033700003289,33.78033700003289,33.76620670000557,FOV1,GS10,01,False,2024-08-02_17h09.05.462,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h10.59.242001 -0400,
5,0,5,0,33.78033700003289,,,,,,,,,33.766384900023695,33.79691790003562,36.797332900052425,38.78029270004481,38.78029270004481,38.76387580001028,FOV1,GS10,01,False,2024-08-02_17h09.05.462,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h10.59.242001 -0400,
6,0,6,0,38.78029270004481,,,,,,,,,38.76405730005354,38.796895000035875,41.79714060004335,43.78035080002155,43.78035080002155,43.76419920002809,FOV1,GS10,01,False,2024-08-02_17h09.05.462,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h10.59.242001 -0400,
7,0,7,0,43.78035080002155,,,,,,,,,43.7644209000282,43.796888900047634,46.79710460000206,48.780384200043045,48.780384200043045,48.76420740003232,FOV1,GS10,01,False,2024-08-02_17h09.05.462,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h10.59.242001 -0400,
8,0,8,0,48.780384200043045,,,,,,,,,48.7643883000128,48.79713640001137,51.79720810003346,53.78041020000819,53.78041020000819,53.76399950002087,FOV1,GS10,01,False,2024-08-02_17h09.05.462,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h10.59.242001 -0400,
9,0,9,0,53.78041020000819,,,,,,,,,53.764190800022334,53.796845000004396,56.79738740000175,58.78033910004888,58.78033910004888,58.76409980002791,FOV1,GS10,01,False,2024-08-02_17h09.05.462,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h10.59.242001 -0400,
