trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.005955500004347414,0.014511699962895364,0.014511699962895364,7.50293179997243,space,7.474418899975717,None,,,,,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
0,0,0,0,7.6422659999807365,,,,,,,,,7.550318399968091,7.6422659999807365,10.56435409997357,12.564415899978485,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
1,0,1,0,12.580952299991623,,,,,,,,,12.564617399999406,12.580952299991623,15.564648699946702,17.565378199971747,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
2,0,2,0,17.581901900004596,,,,,,,,,17.565560999966692,17.581901900004596,20.56466289999662,22.56539929995779,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
3,0,3,0,22.58212509995792,,,,,,,,,22.56559729995206,22.58212509995792,25.564591499976814,27.564454899984412,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
4,0,4,0,27.58249689999502,,,,,,,,,27.56464469997445,27.58249689999502,30.547926099970937,32.56439029995818,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
5,0,5,0,32.58249599998817,,,,,,,,,32.56460669997614,32.58249599998817,35.56453429994872,37.56435629999032,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
6,0,6,0,37.58291639998788,,,,,,,,,37.56455319997622,37.58291639998788,40.564512399956584,42.564340299984906,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
7,0,7,0,42.58097519999137,,,,,,,,,42.5645384999807,42.58097519999137,45.54801879997831,47.56430659996113,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
8,0,8,0,47.580928199982736,,,,,,,,,47.56449909997173,47.580928199982736,50.56466380000347,52.5644106999971,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
9,0,9,0,52.58090749999974,,,,,,,,,52.56458730000304,52.58090749999974,55.56451439997181,57.56431279995013,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
10,0,10,0,57.58089270000346,,,,,,,,,57.564500299980864,57.58089270000346,60.56448999996064,62.564422699972056,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
11,0,11,0,62.58089809998637,,,,,,,,,62.564604399958625,62.58089809998637,65.54804490000242,67.56442989996867,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
12,0,12,0,67.58092189999297,,,,,,,,,67.56462579994695,67.58092189999297,70.54843849997269,72.56429079995723,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
13,0,13,0,72.58081479999237,,,,,,,,,72.5644939999911,72.58081479999237,75.54867629997898,77.56414579995908,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
14,0,14,0,77.58084449998569,,,,,,,,,77.56434079998871,77.58084449998569,80.54893769999035,82.56431190000148,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
15,0,15,0,82.58093149994966,,,,,,,,,82.56450340000447,82.58093149994966,85.54924779996509,87.56454900000244,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
16,0,16,0,87.58119769999757,,,,,,,,,87.56473639997421,87.58119769999757,90.54956590000074,92.5640983999474,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
17,0,17,0,92.58060379995732,,,,,,,,,92.56432179996045,92.58060379995732,95.56451289996039,97.56409559998428,FOV1,GS11,01,False,2024-08-02_17h54.48.240,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-02 17h55.19.374671 -0400,
