trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,stim_grayScreen.stopped,stim_grating.stopped,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0075520999962463975,0.01615989999845624,0.01615989999845624,5.618562499992549,space,5.5990703999996185,None,,,,,,,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
0,0,0,0,5.659271899960004,,,,,,,,,5.657231999968644,5.659271899960004,8.666161399974953,10.6493996999925,10.6493996999925,10.632998699962627,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
1,0,1,0,10.6493996999925,,,,,,,,,10.633210199943278,10.666093299980275,13.666358999966178,15.64974969998002,15.64974969998002,15.633242399955634,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
2,0,2,0,15.64974969998002,,,,,,,,,15.633426099957433,15.666451399971265,18.66646929999115,20.649710299971048,20.649710299971048,20.6331596999662,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
3,0,3,0,20.649710299971048,,,,,,,,,20.633360799984075,20.666567099979147,23.666449899959844,25.649702599970624,25.649702599970624,25.63370649999706,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
4,0,4,0,25.649702599970624,,,,,,,,,25.633889099990483,25.66633889998775,28.666471699951217,30.649755199963693,30.649755199963693,30.633387199952267,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
5,0,5,0,30.649755199963693,,,,,,,,,30.63356969994493,30.66635979997227,33.666383899981156,35.64975289994618,35.64975289994618,35.63380019995384,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
6,0,6,0,35.64975289994618,,,,,,,,,35.63399369997205,35.666547999950126,38.666622299992014,40.64960959996097,40.64960959996097,40.633543899981305,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
7,0,7,0,40.64960959996097,,,,,,,,,40.633761399949435,40.66628739994485,43.666410799953155,45.64959099999396,45.64959099999396,45.6331847999827,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
8,0,8,0,45.64959099999396,,,,,,,,,45.633377799997106,45.66631719999714,48.66667209996376,50.649549899972044,50.649549899972044,50.63351839996176,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
9,0,9,0,50.649549899972044,,,,,,,,,50.6336988999974,50.66621599998325,53.66680179996183,55.649534999975,55.649534999975,55.633073599950876,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
10,0,10,0,55.649534999975,,,,,,,,,55.63324939995073,55.66618799994467,58.666352099971846,60.64950889995089,60.64950889995089,60.63343619997613,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
11,0,11,0,60.64950889995089,,,,,,,,,60.63361859996803,60.666145299968775,63.66618549998384,65.64956329995766,65.64956329995766,65.63303979998454,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
12,0,12,0,65.64956329995766,,,,,,,,,65.63323589996435,65.6661454999703,68.6661542999791,70.6498635999742,70.6498635999742,70.6333138999762,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
13,0,13,0,70.6498635999742,,,,,,,,,70.633491399989,70.66611149994424,73.66632559994468,75.64942269999301,75.64942269999301,75.63300799997523,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
14,0,14,0,75.64942269999301,,,,,,,,,75.6331883999519,75.66612079995684,78.66628459998174,80.64937629998894,80.64937629998894,80.63332069996977,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
15,0,15,0,80.64937629998894,,,,,,,,,80.63349689997267,80.66608309996082,83.66623679996701,85.64934979996178,85.64934979996178,85.63293059996795,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
16,0,16,0,85.64934979996178,,,,,,,,,85.63310939999064,85.66604489996098,88.66617569996743,90.64946149999741,90.64946149999741,90.6329573999974,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
17,0,17,0,90.64946149999741,,,,,,,,,90.63313269999344,90.66601439996157,93.6662251999951,95.64929189998657,95.64929189998657,95.63317190000089,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
18,0,18,0,95.64929189998657,,,,,,,,,95.63338629994541,95.66596919996664,98.66615149995778,100.64927269995678,100.64927269995678,100.6328626999748,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
19,0,19,0,100.64927269995678,,,,,,,,,100.63305249996483,100.66593149997061,103.66612589999568,105.64925359998597,105.64925359998597,105.63319209998008,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
20,0,20,0,105.64925359998597,,,,,,,,,105.63337719999254,105.66593039996224,108.66610439994838,110.64926919998834,110.64926919998834,110.63316529995063,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
21,0,21,0,110.64926919998834,,,,,,,,,110.63336639996851,110.66586989996722,113.66603829996893,115.64918929996202,115.64918929996202,115.63311909994809,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
22,0,22,0,115.64918929996202,,,,,,,,,115.63329389999853,115.66583669994725,118.66610489995219,120.64918289997149,120.64918289997149,120.63287399994442,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
23,0,23,0,120.64918289997149,,,,,,,,,120.63306199997896,120.66583939996781,123.66622549999738,125.64919769996777,125.64919769996777,125.6333076999872,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
24,0,24,0,125.64919769996777,,,,,,,,,125.63355909998063,125.66584009997314,128.66600339999422,130.64924749999773,130.64924749999773,130.6330887999502,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
25,0,25,0,130.64924749999773,,,,,,,,,130.63327309995657,130.66580909996992,133.66594749997603,135.64908389997436,135.64908389997436,135.63266549998662,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
26,0,26,0,135.64908389997436,,,,,,,,,135.6328450999572,135.66583249997348,138.6659376999596,140.6490907999687,140.6490907999687,140.6326634999714,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
27,0,27,0,140.6490907999687,,,,,,,,,140.6328512999462,140.6657876999816,143.6660546999774,145.6490583999548,145.6490583999548,145.63263749994803,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
28,0,28,0,145.6490583999548,,,,,,,,,145.63281239999924,145.66578029998345,148.6659537999658,150.64918229996692,150.64918229996692,150.63280839996878,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
29,0,29,0,150.64918229996692,,,,,,,,,150.63315859995782,150.66574539995054,153.66592259996105,155.64924799994333,155.64924799994333,155.63275159994373,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
30,0,30,0,155.64924799994333,,,,,,,,,155.63294579996727,155.6659314999706,158.66601929999888,160.6491168999928,160.6491168999928,160.63276859995676,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
31,0,31,0,160.6491168999928,,,,,,,,,160.6329498999985,160.66571099997964,163.66587119997712,165.64985249994788,165.64985249994788,165.6330605999683,FOV2,12,01,False,2024-08-03_18h38.44.798,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-03 18h39.04.758157 -0400,
