trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,stim_grayScreen.stopped,stim_grating.stopped,display_gratings.stopped,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.09076099999947473,0.1061846999800764,0.1061846999800764,201.1508811999811,space,201.04019199998584,None,,,,,,,GS_sox-ald,GS09,01,2024-07-31_16h32.39.528,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h32.57.822708 -0400,
0,0,0,0,201.16432159999385,,,,,,,,,201.15122410000185,201.16432159999385,204.16775019999477,206.16710479999892,206.16710479999892,206.1502882000059,GS_sox-ald,GS09,01,2024-07-31_16h32.39.528,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h32.57.822708 -0400,
1,0,1,0,206.16710479999892,,,,,,,,,206.15041810000548,206.16710479999892,209.16508139998768,,,211.16676959997858,GS_sox-ald,GS09,01,2024-07-31_16h32.39.528,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h32.57.822708 -0400,
2,0,2,0,211.18101859997842,,,,,,,,,211.1668926999846,211.18101859997842,214.1653881999955,,,216.1669340999797,GS_sox-ald,GS09,01,2024-07-31_16h32.39.528,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h32.57.822708 -0400,
3,0,3,0,216.18121149999206,,,,,,,,,216.16706129998784,216.18121149999206,219.16568919998826,,,221.16889649999212,GS_sox-ald,GS09,01,2024-07-31_16h32.39.528,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h32.57.822708 -0400,
4,0,4,0,221.1816245999944,,,,,,,,,221.16904539999086,221.1816245999944,224.16586369997822,,,226.1511290000053,GS_sox-ald,GS09,01,2024-07-31_16h32.39.528,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h32.57.822708 -0400,
5,0,5,0,226.1652256999805,,,,,,,,,226.15126139999484,226.1652256999805,229.16613739999593,,,231.15128570000525,GS_sox-ald,GS09,01,2024-07-31_16h32.39.528,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h32.57.822708 -0400,
6,0,6,0,231.1654970999807,,,,,,,,,231.15141190000577,231.1654970999807,234.16639840000425,,,236.15137720000348,GS_sox-ald,GS09,01,2024-07-31_16h32.39.528,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h32.57.822708 -0400,
7,0,7,0,236.16562949999934,,,,,,,,,236.15150300000096,236.16562949999934,239.16661319998093,,,241.15139389998512,GS_sox-ald,GS09,01,2024-07-31_16h32.39.528,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h32.57.822708 -0400,
8,0,8,0,241.16592339999625,,,,,,,,,241.15151460000197,241.16592339999625,244.16689639998367,,,246.15203899997869,GS_sox-ald,GS09,01,2024-07-31_16h32.39.528,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h32.57.822708 -0400,
9,0,9,0,246.16620690000127,,,,,,,,,246.15216379999765,246.16620690000127,249.16718439999386,,,251.1520016999857,GS_sox-ald,GS09,01,2024-07-31_16h32.39.528,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h32.57.822708 -0400,
10,0,10,0,251.16642219998175,,,,,,,,,251.15213899998344,251.16642219998175,254.1673244999838,,,256.15230149999843,GS_sox-ald,GS09,01,2024-07-31_16h32.39.528,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h32.57.822708 -0400,
11,0,11,0,256.1667948999966,,,,,,,,,256.1524210999778,256.1667948999966,259.15110789999017,,,261.15269289998105,GS_sox-ald,GS09,01,2024-07-31_16h32.39.528,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h32.57.822708 -0400,
