trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,stim_grayScreen.stopped,stim_grating.stopped,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.00528779998421669,0.015188699937425554,0.015188699937425554,940.3961205999367,space,940.3659527000273,None,,,,,,,baseline,05,01,False,2024-08-05_13h24.28.090,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 13h25.22.429568 -0400,
0,0,0,0,940.4473604999948,,,,,,,,,940.4433352999622,940.4473604999948,943.443246299983,945.443452199921,945.443452199921,945.4272056999616,baseline,05,01,False,2024-08-05_13h24.28.090,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 13h25.22.429568 -0400,
1,0,1,0,945.443452199921,,,,,,,,,945.4274693999905,945.443452199921,948.4438295,950.4436412999639,950.4436412999639,950.4272735998966,baseline,05,01,False,2024-08-05_13h24.28.090,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 13h25.22.429568 -0400,
2,0,2,0,950.4436412999639,,,,,,,,,950.427527199965,950.4436412999639,953.4437539998908,955.4433702999959,955.4433702999959,955.4274650999578,baseline,05,01,False,2024-08-05_13h24.28.090,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 13h25.22.429568 -0400,
3,0,3,0,955.4433702999959,,,,,,,,,955.4277136999881,955.4433702999959,958.4436555999564,960.4434794998961,960.4434794998961,960.4273806998972,baseline,05,01,False,2024-08-05_13h24.28.090,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 13h25.22.429568 -0400,
4,0,4,0,960.4434794998961,,,,,,,,,960.4276492999634,960.4434794998961,963.443736199988,965.4435014999472,965.4435014999472,965.4275568999583,baseline,05,01,False,2024-08-05_13h24.28.090,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 13h25.22.429568 -0400,
5,0,5,0,965.4435014999472,,,,,,,,,965.4278167999582,965.4435014999472,968.4437324999599,970.4434169998858,970.4434169998858,970.4270528999623,baseline,05,01,False,2024-08-05_13h24.28.090,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 13h25.22.429568 -0400,
6,0,6,0,970.4434169998858,,,,,,,,,970.4273620999884,970.4434169998858,973.4436917999992,975.4434732999653,975.4434732999653,975.4277683999389,baseline,05,01,False,2024-08-05_13h24.28.090,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 13h25.22.429568 -0400,
7,0,7,0,975.4434732999653,,,,,,,,,975.4280405999161,975.4434732999653,978.4436067999341,980.4433325999416,980.4433325999416,980.4274591999128,baseline,05,01,False,2024-08-05_13h24.28.090,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 13h25.22.429568 -0400,
8,0,8,0,980.4433325999416,,,,,,,,,980.4277138999896,980.4433325999416,983.4435978999827,985.4434942998923,985.4434942998923,985.4274170999415,baseline,05,01,False,2024-08-05_13h24.28.090,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 13h25.22.429568 -0400,
