trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.00697240000590682,0.016884000040590763,0.016884000040590763,23.352540599997155,space,23.329757199971937,None,,,,,baseline,10,01,False,2024-08-05_14h18.23.059,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h18.41.474659 -0400,
0,0,0,0,23.46959999995306,,,,,,,,,23.405604199972004,23.46959999995306,26.416778899962083,28.416953700012527,baseline,10,01,False,2024-08-05_14h18.23.059,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h18.41.474659 -0400,
1,0,1,0,28.433511500013992,,,,,,,,,28.417246000026353,28.433511500013992,31.41716820001602,33.41885190003086,baseline,10,01,False,2024-08-05_14h18.23.059,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h18.41.474659 -0400,
2,0,2,0,33.43357680004556,,,,,,,,,33.41914620005991,33.43357680004556,36.41709470003843,38.416988700046204,baseline,10,01,False,2024-08-05_14h18.23.059,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h18.41.474659 -0400,
3,0,3,0,38.43366680003237,,,,,,,,,38.417247500037774,38.43366680003237,41.41740979999304,43.41692820005119,baseline,10,01,False,2024-08-05_14h18.23.059,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h18.41.474659 -0400,
4,0,4,0,43.43353330006357,,,,,,,,,43.41719409998041,43.43353330006357,46.41722629999276,48.416882100049406,baseline,10,01,False,2024-08-05_14h18.23.059,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h18.41.474659 -0400,
5,0,5,0,48.4335996999871,,,,,,,,,48.41714040003717,48.4335996999871,51.41746669996064,53.41686830006074,baseline,10,01,False,2024-08-05_14h18.23.059,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h18.41.474659 -0400,
6,0,6,0,53.43354670004919,,,,,,,,,53.417131099966355,53.43354670004919,56.41772300004959,58.4168332000263,baseline,10,01,False,2024-08-05_14h18.23.059,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h18.41.474659 -0400,
7,0,7,0,58.43347329995595,,,,,,,,,58.41714499995578,58.43347329995595,61.417975799995475,63.4168803000357,baseline,10,01,False,2024-08-05_14h18.23.059,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h18.41.474659 -0400,
8,0,8,0,63.43341319996398,,,,,,,,,63.417133199982345,63.43341319996398,66.41828280000482,68.41694579995237,baseline,10,01,False,2024-08-05_14h18.23.059,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h18.41.474659 -0400,
