trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.005218700040131807,0.012984200031496584,0.012984200031496584,10.481934200040996,space,10.460858899983577,None,,,,,baseline,GS09,01,False,2024-08-05_14h55.10.008,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h55.22.665256 -0400,
0,0,0,0,10.58767420006916,,,,,,,,,10.518964400049299,10.58767420006916,13.530370200052857,15.530001700040884,baseline,GS09,01,False,2024-08-05_14h55.10.008,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h55.22.665256 -0400,
1,0,1,0,15.546506100101396,,,,,,,,,15.53028920001816,15.546506100101396,18.530081000062637,20.530018200050108,baseline,GS09,01,False,2024-08-05_14h55.10.008,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h55.22.665256 -0400,
2,0,2,0,20.546829600003548,,,,,,,,,20.530301699996926,20.546829600003548,23.53014260006603,25.530219900072552,baseline,GS09,01,False,2024-08-05_14h55.10.008,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h55.22.665256 -0400,
3,0,3,0,25.546627400093712,,,,,,,,,25.530526400078088,25.546627400093712,28.53001210000366,30.530033700051717,baseline,GS09,01,False,2024-08-05_14h55.10.008,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h55.22.665256 -0400,
4,0,4,0,30.54739220009651,,,,,,,,,30.53030470001977,30.54739220009651,33.530164499999955,35.529834200046025,baseline,GS09,01,False,2024-08-05_14h55.10.008,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h55.22.665256 -0400,
5,0,5,0,35.546453100047074,,,,,,,,,35.530124800046906,35.546453100047074,38.5300270000007,40.52978219999932,baseline,GS09,01,False,2024-08-05_14h55.10.008,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h55.22.665256 -0400,
6,0,6,0,40.546418600017205,,,,,,,,,40.53007700003218,40.546418600017205,43.52995009999722,45.529824900091626,baseline,GS09,01,False,2024-08-05_14h55.10.008,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h55.22.665256 -0400,
7,0,7,0,45.54641180008184,,,,,,,,,45.53008410008624,45.54641180008184,48.5298935000319,50.52974680007901,baseline,GS09,01,False,2024-08-05_14h55.10.008,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h55.22.665256 -0400,
8,0,8,0,50.54637940006796,,,,,,,,,50.53000820009038,50.54637940006796,53.52991420007311,55.52973120007664,baseline,GS09,01,False,2024-08-05_14h55.10.008,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 14h55.22.665256 -0400,
