trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,stim_grayScreen.stopped,stim_grating.stopped,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.006956400000490248,0.016706999973393977,0.016706999973393977,7.243895899970084,space,7.197283199988306,None,,,,,,,baseline,GS15,01,False,2024-08-05_16h43.36.580,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h43.46.371772 -0400,
0,0,0,0,7.827763700042851,,,,,,,,,7.826195199973881,7.827763700042851,10.833141900016926,12.81686629995238,12.81686629995238,12.80121359997429,baseline,GS15,01,False,2024-08-05_16h43.36.580,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h43.46.371772 -0400,
1,0,1,0,12.81686629995238,,,,,,,,,12.801653199945576,12.833469099947251,15.834942499990575,17.816905500018038,17.816905500018038,17.800857299938798,baseline,GS15,01,False,2024-08-05_16h43.36.580,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h43.46.371772 -0400,
2,0,2,0,17.816905500018038,,,,,,,,,17.8011061999714,17.833601500024088,20.83376720000524,22.816884299973026,22.816884299973026,22.800421899999492,baseline,GS15,01,False,2024-08-05_16h43.36.580,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h43.46.371772 -0400,
3,0,3,0,22.816884299973026,,,,,,,,,22.800687900045887,22.833582799998112,25.83404009998776,27.816862800042145,27.816862800042145,27.800418499973603,baseline,GS15,01,False,2024-08-05_16h43.36.580,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h43.46.371772 -0400,
4,0,4,0,27.816862800042145,,,,,,,,,27.80066079995595,27.833535599987954,30.833864699932747,32.816847900045104,32.816847900045104,32.8005224999506,baseline,GS15,01,False,2024-08-05_16h43.36.580,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h43.46.371772 -0400,
5,0,5,0,32.816847900045104,,,,,,,,,32.80078159994446,32.83351120003499,35.83382229995914,37.816957799950615,37.816957799950615,37.80040489998646,baseline,GS15,01,False,2024-08-05_16h43.36.580,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h43.46.371772 -0400,
6,0,6,0,37.816957799950615,,,,,,,,,37.800648499978706,37.83346670004539,40.8336294000037,42.81685269996524,42.81685269996524,42.80040049995296,baseline,GS15,01,False,2024-08-05_16h43.36.580,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h43.46.371772 -0400,
7,0,7,0,42.81685269996524,,,,,,,,,42.8006524000084,42.83373389998451,45.83360599994194,47.81675110000651,47.81675110000651,47.800292999949306,baseline,GS15,01,False,2024-08-05_16h43.36.580,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h43.46.371772 -0400,
8,0,8,0,47.81675110000651,,,,,,,,,47.80054730002303,47.83367940003518,50.83357629994862,52.81672779994551,52.81672779994551,52.80030959995929,baseline,GS15,01,False,2024-08-05_16h43.36.580,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h43.46.371772 -0400,
