trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,stim_grayScreen.stopped,stim_grating.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0056934000458568335,0.015137300011701882,0.015137300011701882,18.792236200068146,space,18.739581800065935,None,,,,,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
0,0,0,0,19.482449700008146,,,,,,,,,19.350549300084822,19.482449700008146,22.364952800096944,24.365167999989353,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
1,0,1,0,24.38182000000961,,,,,,,,,24.36545520008076,24.38182000000961,27.365230299998075,29.365508100017905,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
2,0,2,0,29.381896600010805,,,,,,,,,29.365770400036126,29.381896600010805,32.348703299998306,34.3654067000607,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
3,0,3,0,34.38186439999845,,,,,,,,,34.365739200031385,34.38186439999845,37.34867310000118,39.36520970007405,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
4,0,4,0,39.3818912000861,,,,,,,,,39.365495300036855,39.3818912000861,42.36538420000579,44.36521340010222,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
5,0,5,0,44.3818449000828,,,,,,,,,44.36549490003381,44.3818449000828,47.36530020006467,49.36519500007853,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
6,0,6,0,49.381823000032455,,,,,,,,,49.3654794000322,49.381823000032455,52.34863470005803,54.36515960004181,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
7,0,7,0,54.38180690002628,,,,,,,,,54.3654899999965,54.38180690002628,57.349602900096215,59.36512540001422,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
8,0,8,0,59.38174640003126,,,,,,,,,59.36537530005444,59.38174640003126,62.365349400090054,64.36506370001007,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
9,0,9,0,64.38169010006823,,,,,,,,,64.36531800008379,64.38169010006823,67.36630160000641,69.36510340007953,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
10,0,10,0,69.38186640001368,,,,,,,,,69.36535800003912,69.38186640001368,72.34858190000523,74.36510620010085,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
11,0,11,0,74.38165280001704,,,,,,,,,74.36537900008261,74.38165280001704,77.3485163000878,79.36507739999797,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
12,0,12,0,79.3823111000238,,,,,,,,,79.36534650006797,79.3823111000238,82.3669738000026,84.36520810006186,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
13,0,13,0,84.38182950008195,,,,,,,,,84.36553260008805,84.38182950008195,87.36521960003302,89.36541379999835,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
14,0,14,0,89.38191360002384,,,,,,,,,89.36570419999771,89.38191360002384,92.3651596000418,94.36584119999316,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
15,0,15,0,94.38165770005435,,,,,,,,,94.3661151000997,94.38165770005435,97.36511080001947,99.36499530007131,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
16,0,16,0,99.38263500004541,,,,,,,,,99.36525320005603,99.38263500004541,102.36509670002852,104.36491180001758,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
17,0,17,0,104.38280810008291,,,,,,,,,104.36524479999207,104.38280810008291,107.36499999999069,109.36489480000455,,,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
