trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,stim_grayScreen.stopped,stim_grating.stopped,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.005969300051219761,0.015465900069102645,0.015465900069102645,24.484558299998753,space,24.46131260006223,None,,,,,,,baseline,SB05,01,False,2024-08-04_17h06.39.254,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-04 17h06.48.745419 -0400,
0,0,0,0,24.542524700053036,,,,,,,,,24.540457700029947,24.542524700053036,27.548820200026967,29.532072200090624,29.532072200090624,29.51571820001118,baseline,SB05,01,False,2024-08-04_17h06.39.254,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-04 17h06.48.745419 -0400,
1,0,1,0,29.532072200090624,,,,,,,,,29.515991100110114,29.548749200068414,32.549366200109944,34.53240770008415,34.53240770008415,34.516173700103536,baseline,SB05,01,False,2024-08-04_17h06.39.254,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-04 17h06.48.745419 -0400,
2,0,2,0,34.53240770008415,,,,,,,,,34.51642530004028,34.54892870003823,37.549148000078276,39.532271600095555,39.532271600095555,39.51613870006986,baseline,SB05,01,False,2024-08-04_17h06.39.254,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-04 17h06.48.745419 -0400,
3,0,3,0,39.532271600095555,,,,,,,,,39.51639700005762,39.54886340000667,42.54908050002996,44.53225870011374,44.53225870011374,44.515723400050774,baseline,SB05,01,False,2024-08-04_17h06.39.254,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-04 17h06.48.745419 -0400,
4,0,4,0,44.53225870011374,,,,,,,,,44.5159805000294,44.54888680006843,47.54896170005668,49.53215280000586,49.53215280000586,49.51615420007147,baseline,SB05,01,False,2024-08-04_17h06.39.254,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-04 17h06.48.745419 -0400,
5,0,5,0,49.53215280000586,,,,,,,,,49.51640600000974,49.54911770008039,52.55203960009385,54.532409400097094,54.532409400097094,54.51574050006457,baseline,SB05,01,False,2024-08-04_17h06.39.254,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-04 17h06.48.745419 -0400,
6,0,6,0,54.532409400097094,,,,,,,,,54.51600020006299,54.54879080003593,57.54881770000793,59.53221360000316,59.53221360000316,59.5156496000709,baseline,SB05,01,False,2024-08-04_17h06.39.254,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-04 17h06.48.745419 -0400,
7,0,7,0,59.53221360000316,,,,,,,,,59.51591380010359,59.54875510011334,62.54877590003889,64.53215770004317,64.53215770004317,64.51646510011051,baseline,SB05,01,False,2024-08-04_17h06.39.254,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-04 17h06.48.745419 -0400,
8,0,8,0,64.53215770004317,,,,,,,,,64.5167629000498,64.5487738000229,67.54879190004431,69.53219990001526,69.53219990001526,69.5156703001121,baseline,SB05,01,False,2024-08-04_17h06.39.254,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-04 17h06.48.745419 -0400,
