trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.02737570001045242,0.03902799999923445,0.03902799999923445,48.126560500008054,space,48.07840309999301,None,,,,,devJG,01,01,2024-07-31_16h49.57.624,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h50.00.978577 -0400,
0,0,0,0,48.1402589000063,,,,,,,,,48.126905100012664,48.1402589000063,51.12472950000665,53.142248799995286,devJG,01,01,2024-07-31_16h49.57.624,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h50.00.978577 -0400,
1,0,1,0,53.15696449999814,,,,,,,,,53.142382799996994,53.15696449999814,56.145001600001706,58.143991999997525,devJG,01,01,2024-07-31_16h49.57.624,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h50.00.978577 -0400,
2,0,2,0,58.15937030001078,,,,,,,,,58.14412490001996,58.15937030001078,61.14155530001153,63.12715750001371,devJG,01,01,2024-07-31_16h49.57.624,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h50.00.978577 -0400,
3,0,3,0,63.142837299994426,,,,,,,,,63.1272962000221,63.142837299994426,66.14413190001505,68.12803439999698,devJG,01,01,2024-07-31_16h49.57.624,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h50.00.978577 -0400,
4,0,4,0,68.14347520002048,,,,,,,,,68.12817169999471,68.14347520002048,71.12854269999661,73.12826170001063,devJG,01,01,2024-07-31_16h49.57.624,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h50.00.978577 -0400,
5,0,5,0,73.14367390002008,,,,,,,,,73.12840390001656,73.14367390002008,76.1454782000219,78.12738449999597,devJG,01,01,2024-07-31_16h49.57.624,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h50.00.978577 -0400,
6,0,6,0,78.14427290001186,,,,,,,,,78.12751570000546,78.14427290001186,81.1423405999958,83.12724930001423,devJG,01,01,2024-07-31_16h49.57.624,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h50.00.978577 -0400,
7,0,7,0,83.14390200001071,,,,,,,,,83.12739100001636,83.14390200001071,86.1460020999948,88.12778110001818,devJG,01,01,2024-07-31_16h49.57.624,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h50.00.978577 -0400,
8,0,8,0,88.14329150001868,,,,,,,,,88.12793590000365,88.14329150001868,91.14441750000697,93.12945070001297,devJG,01,01,2024-07-31_16h49.57.624,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h50.00.978577 -0400,
