trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,stim_grayScreen.stopped,stim_grating.stopped,display_gratings.stopped,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.026114100008271635,0.03710090002277866,0.03710090002277866,92.11006659999839,space,92.06604410000728,None,,,,,,,devJG,01,01,2024-07-31_16h56.32.138,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h56.36.821681 -0400,
0,0,0,0,92.12374370000907,,,,,,,,,92.11041100000148,92.12374370000907,95.12493900000118,97.1239990000031,97.1239990000031,97.10990190002485,devJG,01,01,2024-07-31_16h56.32.138,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h56.36.821681 -0400,
1,0,1,0,97.1239990000031,,,,,,,,,97.11003530002199,97.1239990000031,100.11081530002411,,,102.11220740000135,devJG,01,01,2024-07-31_16h56.32.138,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h56.36.821681 -0400,
2,0,2,0,102.1265930000227,,,,,,,,,102.11233990002074,102.1265930000227,105.12539920001291,,,107.11018360001617,devJG,01,01,2024-07-31_16h56.32.138,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h56.36.821681 -0400,
3,0,3,0,107.12450620002346,,,,,,,,,107.11032360000536,107.12450620002346,110.11145540000871,,,112.11584579999908,devJG,01,01,2024-07-31_16h56.32.138,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h56.36.821681 -0400,
4,0,4,0,112.12997100001667,,,,,,,,,112.11598840000806,112.12997100001667,115.11167969999951,,,117.1131162000238,devJG,01,01,2024-07-31_16h56.32.138,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h56.36.821681 -0400,
5,0,5,0,117.12733540000045,,,,,,,,,117.1132471000019,117.12733540000045,120.11398439999903,,,122.11084800001117,devJG,01,01,2024-07-31_16h56.32.138,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h56.36.821681 -0400,
6,0,6,0,122.12526709999656,,,,,,,,,122.11099020001711,122.12526709999656,125.1098164000141,,,127.11361790000228,devJG,01,01,2024-07-31_16h56.32.138,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h56.36.821681 -0400,
7,0,7,0,127.12557770000421,,,,,,,,,127.1137568000122,127.12557770000421,130.11498929999652,,,132.11636340001132,devJG,01,01,2024-07-31_16h56.32.138,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h56.36.821681 -0400,
8,0,8,0,132.1258028000011,,,,,,,,,132.11649340001168,132.1258028000011,135.11484439999913,,,137.11700140000903,devJG,01,01,2024-07-31_16h56.32.138,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h56.36.821681 -0400,
9,0,9,0,137.13063110000803,,,,,,,,,137.11713490000693,137.13063110000803,140.11289800002123,,,142.11188860001857,devJG,01,01,2024-07-31_16h56.32.138,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-31 16h56.36.821681 -0400,
