trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.07367579999845475,0.07675279999966733,0.07675279999966733,1.848807400005171,space,1.761036400013836,None,,,,,devSB,01,01,2024-07-25_16h57.55.428,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-25 16h58.00.496274 -0400,
0,0,0,0,1.8606353999930434,,,,,,,,,1.8491756999865174,1.8606353999930434,4.877180599985877,6.862597700004699,devSB,01,01,2024-07-25_16h57.55.428,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-25 16h58.00.496274 -0400,
1,0,1,0,6.877025900001172,,,,,,,,,6.862722299993038,6.877025900001172,9.862174199981382,11.86276469999575,devSB,01,01,2024-07-25_16h57.55.428,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-25 16h58.00.496274 -0400,
2,0,2,0,11.877231599995866,,,,,,,,,11.862903500004904,11.877231599995866,14.862470599997323,16.8646022999892,devSB,01,01,2024-07-25_16h57.55.428,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-25 16h58.00.496274 -0400,
3,0,3,0,16.87801240000408,,,,,,,,,16.864810800005216,16.87801240000408,19.862635099998442,21.864828799996758,devSB,01,01,2024-07-25_16h57.55.428,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-25 16h58.00.496274 -0400,
4,0,4,0,21.879029999981867,,,,,,,,,21.86505049999687,21.879029999981867,24.862200599978678,26.86405659999582,devSB,01,01,2024-07-25_16h57.55.428,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-25 16h58.00.496274 -0400,
5,0,5,0,26.878346999990754,,,,,,,,,26.864191700005904,26.878346999990754,29.86283659999026,31.86417889999575,devSB,01,01,2024-07-25_16h57.55.428,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-25 16h58.00.496274 -0400,
6,0,6,0,31.878567000007024,,,,,,,,,31.864305800001603,31.878567000007024,34.86304559998098,36.84931279998273,devSB,01,01,2024-07-25_16h57.55.428,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-25 16h58.00.496274 -0400,
7,0,7,0,36.86248149999301,,,,,,,,,36.849850700004026,36.86248149999301,39.86376690000179,41.8643516000011,devSB,01,01,2024-07-25_16h57.55.428,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-25 16h58.00.496274 -0400,
8,0,8,0,41.87895499999286,,,,,,,,,41.864472899993416,41.87895499999286,44.86384390000603,46.84895429998869,devSB,01,01,2024-07-25_16h57.55.428,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-25 16h58.00.496274 -0400,
9,0,9,0,46.86287819998688,,,,,,,,,46.84911189999548,46.86287819998688,49.86404429998947,51.86559080000734,devSB,01,01,2024-07-25_16h57.55.428,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-07-25 16h58.00.496274 -0400,
