trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,stim_grayScreen.stopped,stim_grating.stopped,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.006413100054487586,0.012256600079126656,0.012256600079126656,5.566193200065754,space,5.541418400011025,None,,,,,,,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
0,0,0,0,5.606844200054184,,,,,,,,,5.604706600075588,5.606844200054184,8.612141500110738,10.595294900005683,10.595294900005683,10.578889600001276,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
1,0,1,0,10.595294900005683,,,,,,,,,10.579131700098515,10.612054600031115,13.612864300026558,15.596237300080247,15.596237300080247,15.580198000068776,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
2,0,2,0,15.596237300080247,,,,,,,,,15.580482100020163,15.612921700114384,18.61483100010082,20.59649490006268,20.59649490006268,20.580106000066735,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
3,0,3,0,20.59649490006268,,,,,,,,,20.580362500040792,20.613187300041318,23.61513760010712,25.596333200111985,25.596333200111985,25.58035660011228,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
4,0,4,0,25.596333200111985,,,,,,,,,25.580600800109096,25.613425600109622,28.612620800035074,30.59550640010275,30.59550640010275,30.580725300009362,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
5,0,5,0,30.59550640010275,,,,,,,,,30.58124170009978,30.61224010004662,33.61573770001996,35.59538810001686,35.59538810001686,35.57955790008418,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
6,0,6,0,35.59538810001686,,,,,,,,,35.579799300059676,35.61212730000261,38.612241200054996,40.59543990006205,40.59543990006205,40.57894810009748,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
7,0,7,0,40.59543990006205,,,,,,,,,40.57922140008304,40.61218820000067,43.61231800005771,45.595325400005095,45.595325400005095,45.57890560000669,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
8,0,8,0,45.595325400005095,,,,,,,,,45.579148700111546,45.612005100003444,48.6122994000325,50.59538810001686,50.59538810001686,50.57893290009815,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
9,0,9,0,50.59538810001686,,,,,,,,,50.579182100016624,50.612068800022826,53.61219550005626,55.59535230009351,55.59535230009351,55.57927159999963,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
10,0,10,0,55.59535230009351,,,,,,,,,55.57952310005203,55.61208580003586,58.61217060009949,60.595316000049934,60.595316000049934,60.57890690001659,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
11,0,11,0,60.595316000049934,,,,,,,,,60.579143100068904,60.61208470002748,63.61215190007351,65.59542570007034,65.59542570007034,65.57888720009942,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
12,0,12,0,65.59542570007034,,,,,,,,,65.57913650001865,65.61209740000777,68.61219270003494,70.59538760001305,70.59538760001305,70.57891500007827,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
13,0,13,0,70.59538760001305,,,,,,,,,70.57915490004234,70.6121809000615,73.61216130002867,75.59530380007345,75.59530380007345,75.57920870010275,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
14,0,14,0,75.59530380007345,,,,,,,,,75.5794590000296,75.611983000068,78.61213540006429,80.59526010008994,80.59526010008994,80.57873570010997,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
15,0,15,0,80.59526010008994,,,,,,,,,80.57898660004139,80.61194460000843,83.61209280008916,85.59526200010441,85.59526200010441,85.57890830002725,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
16,0,16,0,85.59526200010441,,,,,,,,,85.57917140005156,85.61196960008238,88.61207280005328,90.5952271000715,90.5952271000715,90.5790903000161,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
17,0,17,0,90.5952271000715,,,,,,,,,90.57933650002815,90.61199040000793,93.61202460003551,95.59517840004992,95.59517840004992,95.57877920009196,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
18,0,18,0,95.59517840004992,,,,,,,,,95.57903400005307,95.61190670006908,98.61200380010996,100.59559860010631,100.59559860010631,100.57896830001846,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
19,0,19,0,100.59559860010631,,,,,,,,,100.57943810010329,100.61193950008601,103.61216420005076,105.59515630011447,105.59515630011447,105.57922220008913,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
20,0,20,0,105.59515630011447,,,,,,,,,105.57947550003882,105.61186020006426,108.61217420001049,110.59514660004061,110.59514660004061,110.5790518000722,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
21,0,21,0,110.59514660004061,,,,,,,,,110.57929080002941,110.61181920010131,113.61193300003652,115.59510310005862,115.59510310005862,115.57870630000252,high,GS09,01,False,2024-08-08_17h32.03.086,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 17h32.52.225029 -0400,
