trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.007630700012668967,0.01476549997460097,0.01476549997460097,8.5675285999896,space,8.550602399976924,None,,,,,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
0,0,0,0,8.679103499976918,,,,,,,,,8.607070000027306,8.679103499976918,11.6155926999636,13.615231200004928,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
1,0,1,0,13.63206969993189,,,,,,,,,13.615506000001915,13.63206969993189,16.615277100005187,18.615216300007887,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
2,0,2,0,18.631807300029323,,,,,,,,,18.615489299991168,18.631807300029323,21.615260099992156,23.615197799983434,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
3,0,3,0,23.631778999930248,,,,,,,,,23.615464599919505,23.631778999930248,26.615597099997103,28.615122999995947,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
4,0,4,0,28.63177670002915,,,,,,,,,28.61538410000503,28.63177670002915,31.615277000004426,33.61507229995914,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
5,0,5,0,33.63175409997348,,,,,,,,,33.61532979994081,33.63175409997348,36.615198499988765,38.61504149995744,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
6,0,6,0,38.631725599989295,,,,,,,,,38.61530710000079,38.631725599989295,41.61550419998821,43.61526120000053,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
7,0,7,0,43.63188709993847,,,,,,,,,43.6155226000119,43.63188709993847,46.61534040002152,48.61498559999745,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
8,0,8,0,48.631669000023976,,,,,,,,,48.61525079992134,48.631669000023976,51.61557080002967,53.61496039992198,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
9,0,9,0,53.63158609997481,,,,,,,,,53.615221399930306,53.63158609997481,56.61519559996668,58.614980199956335,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
10,0,10,0,58.63161579996813,,,,,,,,,58.6152816999238,58.63161579996813,61.61549759993795,63.61496229993645,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
11,0,11,0,63.63161799998488,,,,,,,,,63.61524970002938,63.63161799998488,66.6153305999469,68.61496179993264,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
12,0,12,0,68.63160670001525,,,,,,,,,68.61522339994553,68.63160670001525,71.61506300000474,73.61490229994524,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
13,0,13,0,73.6315247999737,,,,,,,,,73.61516909999773,73.6315247999737,76.61503410001751,78.61487829999533,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
14,0,14,0,78.63150909997057,,,,,,,,,78.61515450000297,78.63150909997057,81.61499699996784,83.61485989997163,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
15,0,15,0,83.63150080002379,,,,,,,,,83.61510830000043,83.63150080002379,86.61497719993349,88.61483450001106,high,GS15,01,False,2024-08-08_19h03.32.715,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 19h03.45.522438 -0400,
