trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,stim_grayScreen.stopped,stim_grating.stopped,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.07651719998102635,0.07871119992341846,0.07871119992341846,4.868045300012454,space,4.780312199960463,None,,,,,,,high,SB05,01,False,2024-08-08_16h32.06.824,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 16h32.15.286298 -0400,
0,0,0,0,4.909834999940358,,,,,,,,,4.907771899946965,4.909834999940358,7.916051000007428,9.89896439993754,9.89896439993754,9.882554599898867,high,SB05,01,False,2024-08-08_16h32.06.824,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 16h32.15.286298 -0400,
1,0,1,0,9.89896439993754,,,,,,,,,9.882814699900337,9.915654000011273,12.916090999962762,14.89928389992565,14.89928389992565,14.882876899908297,high,SB05,01,False,2024-08-08_16h32.06.824,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 16h32.15.286298 -0400,
2,0,2,0,14.89928389992565,,,,,,,,,14.883127399953082,14.915963399922475,17.916125099989586,19.89923869993072,19.89923869993072,19.883022999973036,high,SB05,01,False,2024-08-08_16h32.06.824,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 16h32.15.286298 -0400,
3,0,3,0,19.89923869993072,,,,,,,,,19.883541899966076,19.915963999927044,22.916082000010647,24.899244399974123,24.899244399974123,24.882838499965146,high,SB05,01,False,2024-08-08_16h32.06.824,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 16h32.15.286298 -0400,
4,0,4,0,24.899244399974123,,,,,,,,,24.883084499975666,24.916139199980535,27.916054699919187,29.89934030000586,29.89934030000586,29.884330099914223,high,SB05,01,False,2024-08-08_16h32.06.824,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 16h32.15.286298 -0400,
5,0,5,0,29.89934030000586,,,,,,,,,29.884574799914844,29.915861299959943,32.91606309998315,34.899214199976996,34.899214199976996,34.88376869994681,high,SB05,01,False,2024-08-08_16h32.06.824,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 16h32.15.286298 -0400,
6,0,6,0,34.899214199976996,,,,,,,,,34.88400689989794,34.915849399985746,37.91599759995006,39.90060109994374,39.90060109994374,39.883859399938956,high,SB05,01,False,2024-08-08_16h32.06.824,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 16h32.15.286298 -0400,
7,0,7,0,39.90060109994374,,,,,,,,,39.88409840001259,39.91582849994302,42.9160243999213,44.90062420000322,44.90062420000322,44.88417279999703,high,SB05,01,False,2024-08-08_16h32.06.824,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 16h32.15.286298 -0400,
8,0,8,0,44.90062420000322,,,,,,,,,44.88464569998905,44.916516899946146,47.91625679994468,49.900809999904595,49.900809999904595,49.88456989999395,high,SB05,01,False,2024-08-08_16h32.06.824,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 16h32.15.286298 -0400,
