trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.00569390004966408,0.010847800062038004,0.010847800062038004,6.2132194000296295,space,6.199068499961868,None,,,,,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
0,0,0,0,6.315874999971129,,,,,,,,,6.250892300042324,6.315874999971129,9.260845100041479,11.260803299956024,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
1,0,1,0,11.277421499951743,,,,,,,,,11.261092999950051,11.277421499951743,14.261025100015104,16.260975599987432,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
2,0,2,0,16.27769400004763,,,,,,,,,16.261268600006588,16.27769400004763,19.26218369998969,21.261116300011054,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
3,0,3,0,21.277666999958456,,,,,,,,,21.261381900054403,21.277666999958456,24.262534599984065,26.261043500038795,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
4,0,4,0,26.27776610001456,,,,,,,,,26.26135659997817,26.27776610001456,29.26285000005737,31.261414099950343,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
5,0,5,0,31.278048499953,,,,,,,,,31.261672000051476,31.278048499953,34.263122000033036,36.26248979999218,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
6,0,6,0,36.27813660004176,,,,,,,,,36.26274350006133,36.27813660004176,39.2647993999999,41.26188740006182,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
7,0,7,0,41.278629799955525,,,,,,,,,41.26213990000542,41.278629799955525,44.26095380005427,46.260789299965836,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
8,0,8,0,46.277461100020446,,,,,,,,,46.261042100028135,46.277461100020446,49.26124020002317,51.2608585000271,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
9,0,9,0,51.27901319996454,,,,,,,,,51.261151000042446,51.27901319996454,54.26148770004511,56.2606664999621,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
10,0,10,0,56.27730810001958,,,,,,,,,56.26092579995748,56.27730810001958,59.26119470002595,61.26062289997935,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
11,0,11,0,61.27723460004199,,,,,,,,,61.26088289998006,61.27723460004199,64.26093520002905,66.26059930003248,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
12,0,12,0,66.27725449996069,,,,,,,,,66.2608629000606,66.27725449996069,69.26115609996486,71.26061800005846,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
13,0,13,0,71.27717220003251,,,,,,,,,71.2608977999771,71.27717220003251,74.26085840002634,76.26058540004306,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
14,0,14,0,76.27727399999276,,,,,,,,,76.26085259998217,76.27727399999276,79.26069280004594,81.26066080003511,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
15,0,15,0,81.27733219997026,,,,,,,,,81.26092270005029,81.27733219997026,84.26095250004437,86.26051890000235,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
16,0,16,0,86.27721380000003,,,,,,,,,86.26078849995974,86.27721380000003,89.26063819997944,91.26056199998129,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
17,0,17,0,91.27719789999537,,,,,,,,,91.26081750006415,91.27719789999537,94.26066000002902,96.26048419997096,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
18,0,18,0,96.2772030000342,,,,,,,,,96.26074259995949,96.2772030000342,99.26085239998065,101.26047580002341,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
19,0,19,0,101.27716229995713,,,,,,,,,101.26073760003783,101.27716229995713,104.26097479998134,106.26041149999946,low,GS09,01,False,2024-08-06_16h19.30.592,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 16h19.44.938483 -0400,
