trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,stim_grayScreen.stopped,stim_grating.stopped,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0717339999973774,0.07431599998380989,0.07431599998380989,2.0132718000095338,space,1.9300446000415832,None,,,,,,,low,GS15,01,False,2024-08-06_17h46.53.309,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 17h47.08.046957 -0400,
0,0,0,0,2.0509457000298426,,,,,,,,,2.0497491999994963,2.0509457000298426,5.0614362000487745,7.045015900046565,7.045015900046565,7.0285213000606745,low,GS15,01,False,2024-08-06_17h46.53.309,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 17h47.08.046957 -0400,
1,0,1,0,7.045015900046565,,,,,,,,,7.028783099958673,7.061647700029425,10.061761799966916,12.045085499994457,12.045085499994457,12.028660199954174,low,GS15,01,False,2024-08-06_17h46.53.309,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 17h47.08.046957 -0400,
2,0,2,0,12.045085499994457,,,,,,,,,12.028917500050738,12.061704599997029,15.061924600042403,17.04505039996002,17.04505039996002,17.028956199996173,low,GS15,01,False,2024-08-06_17h46.53.309,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 17h47.08.046957 -0400,
3,0,3,0,17.04505039996002,,,,,,,,,17.02920600003563,17.06165399996098,20.06234930001665,22.045194100006483,22.045194100006483,22.028569799964316,low,GS15,01,False,2024-08-06_17h46.53.309,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 17h47.08.046957 -0400,
4,0,4,0,22.045194100006483,,,,,,,,,22.028813499957323,22.06164319999516,25.061840699985623,27.045115599990822,27.045115599990822,27.02870420005638,low,GS15,01,False,2024-08-06_17h46.53.309,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 17h47.08.046957 -0400,
5,0,5,0,27.045115599990822,,,,,,,,,27.02896430005785,27.061725600040518,30.06198600004427,32.04498330003116,32.04498330003116,32.02859610004816,low,GS15,01,False,2024-08-06_17h46.53.309,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 17h47.08.046957 -0400,
6,0,6,0,32.04498330003116,,,,,,,,,32.02884120005183,32.061624499969184,35.061829500016756,37.0449695000425,37.0449695000425,37.028653000015765,low,GS15,01,False,2024-08-06_17h46.53.309,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 17h47.08.046957 -0400,
7,0,7,0,37.0449695000425,,,,,,,,,37.02892970002722,37.06170950003434,40.06176740000956,42.044955900055356,42.044955900055356,42.02885260002222,low,GS15,01,False,2024-08-06_17h46.53.309,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 17h47.08.046957 -0400,
8,0,8,0,42.044955900055356,,,,,,,,,42.02909239998553,42.061892000027,45.06174200004898,47.044883999973536,47.044883999973536,47.0284555000253,low,GS15,01,False,2024-08-06_17h46.53.309,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 17h47.08.046957 -0400,
