trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.007505399989895523,0.01454040000680834,0.01454040000680834,7.483722099917941,space,7.467028499930166,None,,,,,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
0,0,0,0,7.588397599989548,,,,,,,,,7.524916999973357,7.588397599989548,10.531294699991122,12.531380599946715,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
1,0,1,0,12.54803379997611,,,,,,,,,12.531635499908589,12.54803379997611,15.531966299982741,17.531464400002733,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
2,0,2,0,17.548105499939993,,,,,,,,,17.53172299999278,17.548105499939993,20.531718399957754,22.531533299945295,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
3,0,3,0,22.548128700000234,,,,,,,,,22.531794299953617,22.548128700000234,25.531626099953428,27.531442199950106,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
4,0,4,0,27.548084399895743,,,,,,,,,27.531707099988125,27.548084399895743,30.531546599930152,32.531431399984285,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
5,0,5,0,32.54803889989853,,,,,,,,,32.53169239999261,32.54803889989853,35.53184469998814,37.531629299977794,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
6,0,6,0,37.548133199918084,,,,,,,,,37.531896799919195,37.548133199918084,40.53145439992659,42.53133149992209,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
7,0,7,0,42.54809379996732,,,,,,,,,42.53158819989767,42.54809379996732,45.53142629994545,47.53129929990973,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
8,0,8,0,47.548008299898356,,,,,,,,,47.53160979994573,47.548008299898356,50.53143989993259,52.531300199916586,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
9,0,9,0,52.54792819998693,,,,,,,,,52.53157170000486,52.54792819998693,55.53139419993386,57.5313565999968,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
10,0,10,0,57.548111099982634,,,,,,,,,57.53163619991392,57.548111099982634,60.53140569990501,62.5312649999978,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
11,0,11,0,62.548138799960725,,,,,,,,,62.531526499893516,62.548138799960725,65.53160429990385,67.531212199945,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
12,0,12,0,67.54784579994157,,,,,,,,,67.53147149994038,67.54784579994157,70.53134889993817,72.53114809992258,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
13,0,13,0,72.54784199991263,,,,,,,,,72.53139549994376,72.54784199991263,75.53207580000162,77.53117579990067,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
14,0,14,0,77.54778779996559,,,,,,,,,77.53145729994867,77.54778779996559,80.53157719993033,82.53134629991837,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
15,0,15,0,82.54781269992236,,,,,,,,,82.53161639999598,82.54781269992236,85.53128509991802,87.53113569994457,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
16,0,16,0,87.54774989990983,,,,,,,,,87.53139119991101,87.54774989990983,90.53125839994755,92.53110919997562,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
17,0,17,0,92.5477328998968,,,,,,,,,92.53137320000678,92.5477328998968,95.53121029993054,97.53125060000457,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
18,0,18,0,97.54773909994401,,,,,,,,,97.53151159989648,97.54773909994401,100.5312222999055,102.53108539991081,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
19,0,19,0,102.5477305999957,,,,,,,,,102.53137229999993,102.5477305999957,105.53117440000642,107.53117749991361,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
20,0,20,0,107.5482019999763,,,,,,,,,107.53143809991889,107.5482019999763,110.53114259999711,112.53096909995656,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
21,0,21,0,112.5482725999318,,,,,,,,,112.53123329998925,112.5482725999318,115.53115119994618,117.53097119997256,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
22,0,22,0,117.54847659997176,,,,,,,,,117.53122859995347,117.54847659997176,120.53110799996648,122.53091809991747,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
23,0,23,0,122.5475411999505,,,,,,,,,122.5312103999313,122.5475411999505,125.53113549994305,127.53090669994708,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
24,0,24,0,127.547545599984,,,,,,,,,127.53115629998501,127.547545599984,130.531236999901,132.53303629998118,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
25,0,25,0,132.5475566999521,,,,,,,,,132.53331529989373,132.5475566999521,135.5312729999423,137.53301509993616,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
26,0,26,0,137.54753029998392,,,,,,,,,137.53330279991496,137.54753029998392,140.53100279998034,142.53092079993803,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
27,0,27,0,142.54763919999823,,,,,,,,,142.5311751998961,142.54763919999823,145.53108989994507,147.53090389992576,low,SB04,01,False,2024-08-06_14h38.14.276,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 14h38.34.208897 -0400,
