trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,stim_grayScreen.stopped,stim_grating.stopped,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.00618130003567785,0.01744890003465116,0.01744890003465116,7.369395700050518,space,7.349834499997087,None,,,,,,,low,SB10,01,False,2024-08-06_15h43.22.020,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 15h43.30.635179 -0400,
0,0,0,0,7.423162600025535,,,,,,,,,7.420731900027022,7.423162600025535,10.433828999986872,12.417338300030679,12.417338300030679,12.401364700053819,low,SB10,01,False,2024-08-06_15h43.22.020,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 15h43.30.635179 -0400,
1,0,1,0,12.417338300030679,,,,,,,,,12.401635600021109,12.434005700051785,15.434330600081012,17.417411600006744,17.417411600006744,17.400963800027966,low,SB10,01,False,2024-08-06_15h43.22.020,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 15h43.30.635179 -0400,
2,0,2,0,17.417411600006744,,,,,,,,,17.401224700035527,17.434093300020322,20.434316100087017,22.417415200034156,22.417415200034156,22.40096960007213,low,SB10,01,False,2024-08-06_15h43.22.020,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 15h43.30.635179 -0400,
3,0,3,0,22.417415200034156,,,,,,,,,22.40123499999754,22.434072399977595,25.434376200078987,27.417460400029086,27.417460400029086,27.40088710002601,low,SB10,01,False,2024-08-06_15h43.22.020,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 15h43.30.635179 -0400,
4,0,4,0,27.417460400029086,,,,,,,,,27.401146300020628,27.43414730008226,30.434268700075336,32.41734749998432,32.41734749998432,32.40127590007614,low,SB10,01,False,2024-08-06_15h43.22.020,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 15h43.30.635179 -0400,
5,0,5,0,32.41734749998432,,,,,,,,,32.40151690004859,32.43403020000551,35.43423310003709,37.41744320001453,37.41744320001453,37.400980700040236,low,SB10,01,False,2024-08-06_15h43.22.020,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 15h43.30.635179 -0400,
6,0,6,0,37.41744320001453,,,,,,,,,37.40148310002405,37.43405140005052,40.434286599978805,42.417386800050735,42.417386800050735,42.40087020001374,low,SB10,01,False,2024-08-06_15h43.22.020,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 15h43.30.635179 -0400,
7,0,7,0,42.417386800050735,,,,,,,,,42.40113420004491,42.43403640005272,45.434107000008225,47.4172569999937,47.4172569999937,47.40084380004555,low,SB10,01,False,2024-08-06_15h43.22.020,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 15h43.30.635179 -0400,
8,0,8,0,47.4172569999937,,,,,,,,,47.40109270007815,47.43391000002157,50.4174301000312,52.41723230003845,52.41723230003845,52.4021122000413,low,SB10,01,False,2024-08-06_15h43.22.020,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-06 15h43.30.635179 -0400,
