trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,stim_grayScreen.stopped,stim_grating.stopped,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.006670100032351911,0.013571500079706311,0.013571500079706311,3.348671300103888,space,3.3168059999588877,None,,,,,,,sal,GS10,01,False,2024-08-07_16h22.34.056,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 16h22.44.502279 -0400,
0,0,0,0,3.3994981000432745,,,,,,,,,3.397994800005108,3.3994981000432745,6.396844500093721,8.396951700095087,8.396951700095087,8.38069080002606,sal,GS10,01,False,2024-08-07_16h22.34.056,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 16h22.44.502279 -0400,
1,0,1,0,8.396951700095087,,,,,,,,,8.38095520006027,8.396951700095087,11.397239300073124,13.397076499997638,13.397076499997638,13.380906000034884,sal,GS10,01,False,2024-08-07_16h22.34.056,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 16h22.44.502279 -0400,
2,0,2,0,13.397076499997638,,,,,,,,,13.381452900008298,13.397076499997638,16.39734720007982,18.397261300007813,18.397261300007813,18.38053010008298,sal,GS10,01,False,2024-08-07_16h22.34.056,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 16h22.44.502279 -0400,
3,0,3,0,18.397261300007813,,,,,,,,,18.38078340003267,18.397261300007813,21.39724760001991,23.39740110002458,23.39740110002458,23.380703800008632,sal,GS10,01,False,2024-08-07_16h22.34.056,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 16h22.44.502279 -0400,
4,0,4,0,23.39740110002458,,,,,,,,,23.380965500022285,23.39740110002458,26.39721650001593,28.397570300032385,28.397570300032385,28.38054959999863,sal,GS10,01,False,2024-08-07_16h22.34.056,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 16h22.44.502279 -0400,
5,0,5,0,28.397570300032385,,,,,,,,,28.380813000025228,28.397570300032385,31.39769840007648,33.39745530008804,33.39745530008804,33.380954900057986,sal,GS10,01,False,2024-08-07_16h22.34.056,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 16h22.44.502279 -0400,
6,0,6,0,33.39745530008804,,,,,,,,,33.38121480005793,33.39745530008804,36.397522900020704,38.39731190004386,38.39731190004386,38.38130370003637,sal,GS10,01,False,2024-08-07_16h22.34.056,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 16h22.44.502279 -0400,
7,0,7,0,38.39731190004386,,,,,,,,,38.381557600107044,38.39731190004386,41.397121200105175,43.397323700017296,43.397323700017296,43.38030970003456,sal,GS10,01,False,2024-08-07_16h22.34.056,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 16h22.44.502279 -0400,
8,0,8,0,43.397323700017296,,,,,,,,,43.3805950001115,43.397323700017296,46.397122299997136,48.396912900032476,48.396912900032476,48.380532700102776,sal,GS10,01,False,2024-08-07_16h22.34.056,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 16h22.44.502279 -0400,
