trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,stim_grayScreen.stopped,stim_grating.stopped,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.06864479999057949,0.07074410002678633,0.07074410002678633,11.087192800012417,space,11.006388899986632,None,,,,,,,sal,SB04,01,False,2024-08-07_14h07.05.800,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 14h07.16.190205 -0400,
0,0,0,0,11.125241699977778,,,,,,,,,11.1233095000498,11.125241699977778,14.133027900010347,16.116303300019354,16.116303300019354,16.099807400023565,sal,SB04,01,False,2024-08-07_14h07.05.800,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 14h07.16.190205 -0400,
1,0,1,0,16.116303300019354,,,,,,,,,16.100078899995424,16.132972300052643,19.13308240007609,21.116446700063534,21.116446700063534,21.099964900058694,sal,SB04,01,False,2024-08-07_14h07.05.800,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 14h07.16.190205 -0400,
2,0,2,0,21.116446700063534,,,,,,,,,21.100204700022005,21.133431100053713,24.133193999994546,26.116718800039962,26.116718800039962,26.10068869998213,sal,SB04,01,False,2024-08-07_14h07.05.800,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 14h07.16.190205 -0400,
3,0,3,0,26.116718800039962,,,,,,,,,26.100952800014056,26.134181400062516,29.133153500035405,31.116338800056837,31.116338800056837,31.10076719999779,sal,SB04,01,False,2024-08-07_14h07.05.800,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 14h07.16.190205 -0400,
4,0,4,0,31.116338800056837,,,,,,,,,31.101030400022864,31.133734400034882,34.13467110006604,36.117585200001486,36.117585200001486,36.09982190001756,sal,SB04,01,False,2024-08-07_14h07.05.800,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 14h07.16.190205 -0400,
5,0,5,0,36.117585200001486,,,,,,,,,36.10008640005253,36.13384769996628,39.13308250007685,41.11770930001512,41.11770930001512,41.09987939998973,sal,SB04,01,False,2024-08-07_14h07.05.800,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 14h07.16.190205 -0400,
6,0,6,0,41.11770930001512,,,,,,,,,41.100126300007105,41.1329204000067,44.133296100073494,46.117645199992694,46.117645199992694,46.10025320004206,sal,SB04,01,False,2024-08-07_14h07.05.800,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 14h07.16.190205 -0400,
7,0,7,0,46.117645199992694,,,,,,,,,46.1004937000107,46.13468560006004,49.13302589999512,51.11625990003813,51.11625990003813,51.09985970007256,sal,SB04,01,False,2024-08-07_14h07.05.800,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 14h07.16.190205 -0400,
8,0,8,0,51.11625990003813,,,,,,,,,51.10012229997665,51.13475850003306,54.13306100002956,56.116153400042094,56.116153400042094,56.099737900076434,sal,SB04,01,False,2024-08-07_14h07.05.800,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-07 14h07.16.190205 -0400,
